FID	IID	Froh
ADP	ADP_3	0.00570404984423676
ADP	ADP_5	0.019486025812194
ADP	ADP_6	0.015884779706275
ADP	ADP_7	0.00766764574988874
ADP	ADP_8	0.0120651535380507
ADP	ADP_9	0.00825781041388518
ADP	ADP_11	0.0103531375166889
ADP	ADP_12	0.0151045838896306
ADP	ADP_13	0.00531784601691144
ADP	ADP_14	0.00598001780151313
ADP	ADP_15	0.0079411214953271
ADP	ADP_16	0.00280094348019582
ADP	ADP_17	0.00843386737872719
ADP	ADP_18	0.0159197596795728
ADP	ADP_19	0.0318599020916778
ADP	ADP_20	0.0159197596795728
ADP	ADP_21	0.021710235870049
ADP	ADP_22	0.0102283044058745
ADP	ADP_23	0.0170868713840676
ADP	ADP_24	0.00932647975077882
ADP	ADP_25	0.00907276368491322
AFS	AFS_1	0.00790565198041833
AFS	AFS_3	0.0182904761904762
AFS	AFS_4	0.00660160213618158
AFS	AFS_5	0
AFS	AFS_6	0.00852145082331998
AFS	AFS_7	0
AFS	AFS_8	0.0179502447708055
AFS	AFS_9	0.0161793502447708
AFS	AFS_11	0.00829301290609702
AFS	AFS_12	0.00460485091232755
AFS	AFS_13	0
AFS	AFS_14	0.0170554517133956
AFS	AFS_15	0.0169022696929239
AFS	AFS_16	0.00490556297285269
AFS	AFS_17	0.000940146862483311
AFS	AFS_18	0.00617739207832666
AFS	AFS_19	0.00171831775700935
AFS	AFS_20	0
AFS	AFS_21	0.00269199821984869
AFS	AFS_22	0.0177544726301736
AFS	AFS_23	0.00919492656875835
AFS	AFS_24	0.00657267467734757
AFS	AFS_25	0
AFS	AFS_26	0
AFS	AFS_28	0
AFS	AFS_29	0
AFS	AFS_31	0.00300432576769025
AFS	AFS_32	0
AFS	AFS_33	0.00816844681797953
AFS	AFS_34	0
AFS	AFS_35	0.00450520694259012
AFS	AFS_36	0
AFS	AFS_37	0.0137689363595906
AFS	AFS_38	0.00138834000890076
AFS	AFS_39	0
AFS	AFS_40	0.000627846016911437
AFS	AFS_41	0
