FID	IID	Fhom
ADP	ADP_3	0.02175
ADP	ADP_5	0.06604
ADP	ADP_6	0.09247
ADP	ADP_7	0.0361
ADP	ADP_8	0.05724
ADP	ADP_9	0.03257
ADP	ADP_11	0.02918
ADP	ADP_12	0.1154
ADP	ADP_13	0.02155
ADP	ADP_14	0.03626
ADP	ADP_15	0.03035
ADP	ADP_16	0.009615
ADP	ADP_17	0.05341
ADP	ADP_18	0.0859
ADP	ADP_19	0.1978
ADP	ADP_20	0.08586
ADP	ADP_21	0.09397
ADP	ADP_22	0.03652
ADP	ADP_23	0.09211
ADP	ADP_24	0.04732
ADP	ADP_25	0.03531
AFS	AFS_1	0.02837
AFS	AFS_3	0.09221
AFS	AFS_4	0.02365
AFS	AFS_5	-0.008123
AFS	AFS_6	0.02965
AFS	AFS_7	-0.01591
AFS	AFS_8	0.0984
AFS	AFS_9	0.09951
AFS	AFS_11	0.05038
AFS	AFS_12	0.02443
AFS	AFS_13	-0.009999
AFS	AFS_14	0.09397
AFS	AFS_15	0.0794
AFS	AFS_16	0.03566
AFS	AFS_17	0.006021
AFS	AFS_18	0.03697
AFS	AFS_19	-0.003074
AFS	AFS_20	-0.02039
AFS	AFS_21	0.02271
AFS	AFS_22	0.09945
AFS	AFS_23	0.02985
AFS	AFS_24	0.03933
AFS	AFS_25	-0.005878
AFS	AFS_26	-0.09869
AFS	AFS_28	-0.002484
AFS	AFS_29	-0.0134
AFS	AFS_31	0.01154
AFS	AFS_32	-0.01983
AFS	AFS_33	0.02102
AFS	AFS_34	-0.007524
AFS	AFS_35	0.03097
AFS	AFS_36	-0.01274
AFS	AFS_37	0.04766
AFS	AFS_38	-0.008173
AFS	AFS_39	-0.01371
AFS	AFS_40	0.006818
AFS	AFS_41	-0.008399
