FID	IID	Fhom
0	HG00096	0.04188
0	HG00097	0.002404
0	HG00099	-0.002735
0	HG00100	0.05386
0	HG00101	0.01211
0	HG00102	0.02243
0	HG00103	0.05066
0	HG00104	0.003504
0	HG00106	0.03627
0	HG00108	0.05417
0	HG00109	0.01616
0	HG00110	0.06285
0	HG00111	0.0591
0	HG00112	0.03775
0	HG00113	0.01692
0	HG00114	0.0553
0	HG00116	0.03753
0	HG00117	0.07138
0	HG00118	0.02578
0	HG00119	0.0327
0	HG00120	0.03231
0	HG00121	0.05214
0	HG00122	0.04046
0	HG00123	0.01077
0	HG00124	0.03735
0	HG00125	0.05429
0	HG00126	0.03752
0	HG00127	0.05137
0	HG00128	-0.002223
0	HG00129	0.004484
0	HG00130	-0.002283
0	HG00131	0.03416
0	HG00133	0.02839
0	HG00134	-0.001138
0	HG00135	0.008493
0	HG00136	0.05377
0	HG00137	0.05699
0	HG00138	0.05303
0	HG00139	0.05707
0	HG00140	0.05689
0	HG00141	0.03425
0	HG00142	0.01347
0	HG00143	0.02869
0	HG00146	0.04099
0	HG00148	0.03371
0	HG00149	0.032
0	HG00150	0.0314
0	HG00151	0.02894
0	HG00152	0.03955
0	HG00154	0.06099
0	HG00155	0.08741
0	HG00156	0.04397
0	HG00158	0.04019
0	HG00159	0.03876
0	HG00160	0.04525
0	HG00171	0.04239
0	HG00173	0.02326
0	HG00174	0.0292
0	HG00176	0.05707
0	HG00177	0.0376
0	HG00178	0.05377
0	HG00179	0.02509
0	HG00180	0.04346
0	HG00182	0.03006
0	HG00183	0.05494
0	HG00185	0.05048
0	HG00186	0.05325
0	HG00187	0.052
0	HG00188	0.04572
0	HG00189	0.03728
0	HG00190	0.04041
0	HG00231	0.01187
0	HG00232	0.07678
0	HG00233	0.05246
0	HG00234	-0.001047
0	HG00235	-0.0008214
0	HG00236	0.07574
0	HG00237	0.04819
0	HG00238	0.002087
0	HG00239	0.05003
0	HG00240	0.01508
0	HG00242	0.0234
0	HG00243	0.03651
0	HG00244	0.0376
0	HG00245	0.04483
0	HG00246	0.04281
0	HG00247	0.03237
0	HG00249	0.05469
0	HG00250	0.0582
0	HG00251	0.04715
0	HG00252	0.06463
0	HG00253	0.05148
0	HG00254	0.05511
0	HG00255	0.008673
0	HG00256	0.05662
0	HG00257	0.04949
0	HG00258	0.006699
0	HG00259	0.04518
0	HG00260	0.06899
0	HG00261	0.0615
0	HG00262	0.0279
0	HG00263	0.06123
0	HG00264	0.04855
0	HG00265	0.03594
0	HG00266	0.02686
0	HG00267	0.02397
0	HG00268	0.05551
0	HG00269	0.02784
0	HG00270	0.03012
0	HG00271	0.04964
0	HG00272	0.05443
0	HG00273	0.05336
0	HG00274	0.04976
0	HG00275	0.05643
0	HG00276	0.05007
0	HG00277	0.05377
0	HG00278	0.05609
0	HG00280	0.05446
0	HG00281	0.0462
0	HG00282	0.04676
0	HG00284	0.04736
0	HG00285	0.06757
0	HG00306	0.03378
0	HG00309	0.04474
0	HG00310	0.04376
0	HG00311	0.04376
0	HG00312	0.05987
0	HG00313	0.0546
0	HG00315	0.05524
0	HG00318	0.05595
0	HG00319	0.04778
0	HG00320	0.06299
0	HG00321	0.06596
0	HG00323	0.05173
0	HG00324	0.07119
0	HG00325	0.0555
0	HG00326	0.05649
0	HG00327	0.0574
0	HG00328	0.05868
0	HG00329	0.03488
0	HG00330	0.04625
0	HG00331	0.04453
0	HG00332	0.03847
0	HG00334	0.04965
0	HG00335	0.04537
0	HG00336	0.04331
0	HG00337	0.03654
0	HG00338	0.05092
0	HG00339	0.05681
0	HG00341	0.05571
0	HG00342	0.05479
0	HG00343	0.0449
0	HG00344	0.04784
0	HG00345	0.05099
0	HG00346	0.06742
0	HG00349	-0.006503
0	HG00350	0.00379
0	HG00351	-0.007016
0	HG00353	0.06142
0	HG00355	-0.008221
0	HG00356	-0.007769
0	HG00357	0.06296
0	HG00358	0.0004597
0	HG00359	-0.004047
0	HG00360	-0.001409
0	HG00361	0.02858
0	HG00362	0.007317
0	HG00364	0.0005652
0	HG00366	0.04584
0	HG00367	0.0346
0	HG00369	0.03009
0	HG00372	0.05545
0	HG00373	0.06814
0	HG00375	0.05738
0	HG00376	0.03826
0	HG00377	0.04175
0	HG00378	0.03402
0	HG00381	0.03449
0	HG00382	0.03164
0	HG00383	0.04917
0	HG00384	0.01074
0	HG00403	0.1169
0	HG00404	0.1019
0	HG00406	0.1004
0	HG00407	0.08328
0	HG00418	0.09149
0	HG00419	0.1074
0	HG00421	0.1182
0	HG00422	0.1095
0	HG00427	0.09306
0	HG00428	0.1085
0	HG00436	0.1082
0	HG00437	0.101
0	HG00442	0.1107
0	HG00443	0.1082
0	HG00445	0.09025
0	HG00446	0.1067
0	HG00448	0.1093
0	HG00449	0.1151
0	HG00451	0.1159
0	HG00452	0.09797
0	HG00457	0.1033
0	HG00458	0.1052
0	HG00463	0.1131
0	HG00464	0.1119
0	HG00472	0.1159
0	HG00473	0.105
0	HG00475	0.1003
0	HG00476	0.11
0	HG00478	0.1153
0	HG00479	0.1079
0	HG00500	0.1185
0	HG00501	0.07105
0	HG00512	0.07276
0	HG00513	0.1191
0	HG00524	0.05854
0	HG00525	0.1211
0	HG00530	0.1191
0	HG00531	0.1044
0	HG00533	0.118
0	HG00534	0.1073
0	HG00536	0.1104
0	HG00537	0.102
0	HG00542	0.1092
0	HG00543	0.1111
0	HG00553	0.01559
0	HG00554	0.01631
0	HG00556	0.1137
0	HG00557	0.1066
0	HG00559	0.0779
0	HG00560	0.09203
0	HG00565	0.08379
0	HG00566	0.08421
0	HG00577	0.07591
0	HG00578	0.03445
0	HG00580	0.1174
0	HG00581	0.07218
0	HG00583	0.1108
0	HG00584	0.07784
0	HG00589	0.1213
0	HG00590	0.121
0	HG00592	0.09848
0	HG00593	0.0938
0	HG00595	0.07025
0	HG00596	0.1053
0	HG00607	0.1195
0	HG00608	0.1235
0	HG00610	0.1144
0	HG00611	0.1285
0	HG00613	0.1057
0	HG00614	0.1215
0	HG00619	0.1222
0	HG00620	0.1245
0	HG00625	0.1287
0	HG00626	0.1188
0	HG00628	0.116
0	HG00629	0.1193
0	HG00634	0.1264
0	HG00635	0.08297
0	HG00637	0.01595
0	HG00638	0.01455
0	HG00640	0.01583
0	HG00641	0.03848
0	HG00650	0.1168
0	HG00651	0.1239
0	HG00653	0.1098
0	HG00654	0.109
0	HG00656	0.08587
0	HG00657	0.09365
0	HG00662	0.1226
0	HG00663	0.1194
0	HG00671	0.1038
0	HG00672	0.1163
0	HG00683	0.1149
0	HG00684	0.1176
0	HG00689	0.1145
0	HG00690	0.119
0	HG00692	0.1136
0	HG00693	0.1145
0	HG00698	0.1106
0	HG00699	0.1188
0	HG00701	0.1156
0	HG00702	0.07502
0	HG00704	0.1181
0	HG00705	0.1185
0	HG00707	0.1191
0	HG00708	0.1052
0	HG00731	0.02691
0	HG00732	0.01074
0	HG00734	0.002961
0	HG00736	0.02983
0	HG00737	0.007784
0	HG00740	0.009065
0	HG01047	0.0147
0	HG01048	-0.007136
0	HG01051	0.007453
0	HG01052	0.006548
0	HG01055	0.01259
0	HG01060	0.02949
0	HG01061	0.03636
0	HG01066	0.02497
0	HG01067	0.02459
0	HG01069	0.01704
0	HG01070	0.02286
0	HG01072	0.03026
0	HG01073	0.02769
0	HG01075	0.03184
0	HG01079	0.008432
0	HG01080	0.01583
0	HG01082	0.01847
0	HG01083	0.02424
0	HG01085	0.01175
0	HG01095	0.01024
0	HG01097	0.02481
0	HG01098	0.01832
0	HG01101	0.001485
0	HG01102	0.01439
0	HG01104	0.01255
0	HG01105	0.03618
0	HG01107	0.005931
0	HG01108	-0.001907
0	HG01112	0.04605
0	HG01113	0.03366
0	HG01124	-0.0287
0	HG01125	-0.03101
0	HG01133	-0.0136
0	HG01134	-0.002977
0	HG01136	-0.02356
0	HG01137	0.01645
0	HG01140	-0.006518
0	HG01148	0.07514
0	HG01149	0.03915
0	HG01167	0.03523
0	HG01168	0.05428
0	HG01170	0.0237
0	HG01171	0.01083
0	HG01173	0.03931
0	HG01174	0.05129
0	HG01176	0.03653
0	HG01183	0.03324
0	HG01187	0.008658
0	HG01188	-0.008236
0	HG01190	-0.004981
0	HG01191	0.01452
0	HG01197	0.01705
0	HG01198	0.05633
0	HG01204	0.01778
0	HG01250	0.02812
0	HG01251	0.02938
0	HG01257	0.02118
0	HG01259	0.009442
0	HG01271	-0.02692
0	HG01272	-0.03288
0	HG01274	-0.009924
0	HG01275	0.03897
0	HG01277	0.0004145
0	HG01278	-0.01006
0	HG01334	0.04937
0	HG01342	-0.01451
0	HG01344	0.01907
0	HG01345	-0.02488
0	HG01350	0.0586
0	HG01351	0.05555
0	HG01353	0.03481
0	HG01354	0.04919
0	HG01356	0.02385
0	HG01357	0.03155
0	HG01359	0.02243
0	HG01360	0.03277
0	HG01365	0.02745
0	HG01366	0.0393
0	HG01374	0.05173
0	HG01375	0.0377
0	HG01377	0.03643
0	HG01378	0.07007
0	HG01383	0.0654
0	HG01384	0.04872
0	HG01389	0.09767
0	HG01390	0.02712
0	HG01437	0.0479
0	HG01440	0.01763
0	HG01441	0.0478
0	HG01455	0.04439
0	HG01456	0.03576
0	HG01461	0.01855
0	HG01462	0.001907
0	HG01465	0.0391
0	HG01488	0.01164
0	HG01489	0.02168
0	HG01491	0.08154
0	HG01492	0.02374
0	HG01494	0.04566
0	HG01495	0.006262
0	HG01497	0.0533
0	HG01498	0.04828
0	HG01515	0.06644
0	HG01516	0.07146
0	HG01518	0.06822
0	HG01519	0.06927
0	HG01521	0.07176
0	HG01522	0.06335
0	HG01550	0.02379
0	HG01551	-0.0002035
0	HG01617	0.03514
0	HG01618	0.01811
0	HG01619	0.0311
